x,y,color,pen down?,x,y,color,pen down?
198,2,15,true,198,1,105,true
199,2,15,true,199,1,105,true
200,2,15,true,200,1,105,true
201,2,15,true,201,1,105,true
202,3,15,true,202,1,105,true
203,3,15,true,203,1,105,true
204,3,15,true,204,1,105,true
205,3,15,true,205,1,105,true
206,3,15,true,206,1,105,true
207,3,15,true,207,1,105,true
208,3,15,true,208,1,105,true
209,3,15,true,209,1,105,true
210,3,15,true,210,1,105,true
211,3,15,true,211,1,105,true
212,3,15,true,212,1,105,true
213,3,15,true,213,1,105,true
214,3,15,true,214,1,105,true
215,3,15,true,215,1,105,true
216,3,15,true,216,1,105,true
217,3,15,true,217,1,105,true
218,3,15,true,218,1,105,true
219,3,15,true,219,1,105,true
220,3,15,true,220,1,105,true
221,3,15,true,221,1,105,true
222,3,15,true,222,1,105,true
223,3,15,true,223,1,105,true
224,3,15,true,224,1,105,true
225,3,15,true,225,1,105,true
226,3,15,true,226,1,105,true
227,3,15,true,227,1,105,true
228,3,15,true,228,2,105,true
229,3,15,true,229,2,105,true
230,3,15,true,230,2,105,true
231,3,15,true,231,2,105,true
232,3,15,true,232,2,105,true
233,3,15,true,233,2,105,true
234,3,15,true,234,2,105,true
235,3,15,true,235,2,105,true
236,3,15,true,236,2,105,true
237,3,15,true,237,2,105,true
238,3,15,true,238,2,105,true
239,3,15,true,239,2,105,true
240,3,15,true,240,2,105,true
241,3,15,true,241,2,105,true
242,3,15,true,242,2,105,true
243,3,15,true,243,2,105,true
244,3,15,true,244,2,105,true
245,3,15,true,245,2,105,true
246,3,15,true,246,2,105,true
247,3,15,true,247,2,105,true
248,3,15,true,248,2,105,true
249,3,15,true,249,2,105,true
250,3,15,true,250,2,105,true
251,3,15,true,251,2,105,true
252,3,15,true,252,2,105,true
253,3,15,true,253,2,105,true
254,3,15,true,254,2,105,true
255,3,15,true,255,2,105,true
256,3,15,true,256,2,105,true
257,3,15,true,257,2,105,true
258,3,15,true,258,2,105,true
259,3,15,true,259,2,105,true
260,3,15,true,260,2,105,true
261,3,15,true,261,2,105,true
262,3,15,true,262,2,105,true
263,3,15,true,263,2,105,true
264,3,15,true,264,2,105,true
265,3,15,true,265,2,105,true
266,3,15,true,266,2,105,true
267,3,15,true,267,2,105,true
268,3,15,true,268,2,105,true
269,3,15,true,269,2,105,true
270,3,15,true,270,2,105,true
271,3,15,true,271,2,105,true
272,3,15,true,272,2,105,true
273,3,15,true,273,2,105,true
274,3,15,true,274,2,105,true
275,3,15,true,275,2,105,true
276,3,15,true,276,2,105,true
277,3,15,true,277,2,105,true
278,3,15,true,278,2,105,true
279,3,15,true,279,2,105,true
280,3,15,true,280,2,105,true
281,3,15,true,281,2,105,true
282,3,15,true,282,2,105,true
283,3,15,true,283,2,105,true
284,3,15,true,284,2,105,true
285,3,15,true,285,2,105,true
286,3,15,true,286,2,105,true
287,3,15,true,287,2,105,true
288,3,15,true,288,2,105,true
289,3,15,true,289,2,105,true
290,3,15,true,290,2,105,true
291,3,15,true,291,2,105,true
292,3,15,true,292,2,105,true
293,3,15,true,293,2,105,true
294,3,15,true,294,2,105,true
295,3,15,true,295,2,105,true
296,3,15,true,296,2,105,true
297,3,15,true,297,2,105,true
298,3,15,true,298,2,105,true
299,3,15,true,299,2,105,true
300,3,15,true,300,2,105,true
301,3,15,true,301,2,105,true
302,3,15,true,302,2,105,true
303,3,15,true,303,2,105,true
304,3,15,true,304,2,105,true
305,3,15,true,305,2,105,true
306,3,15,true,306,2,105,true
307,3,15,true,307,2,105,true
308,3,15,true,308,2,105,true
309,3,15,true,309,2,105,true
310,3,15,true,310,2,105,true
311,3,15,true,311,2,105,true
312,3,15,true,312,2,105,true
313,3,15,true,313,2,105,true
314,3,15,true,314,2,105,true
315,3,15,true,315,2,105,true
316,3,15,true,316,2,105,true
317,3,15,true,317,2,105,true
318,3,15,true,318,2,105,true
319,3,15,true,319,2,105,true
320,3,15,true,320,2,105,true
321,3,15,true,321,2,105,true
322,3,15,true,322,2,105,true
323,3,15,true,323,2,105,true
324,3,15,true,324,2,105,true
325,3,15,true,325,2,105,true
326,3,15,true,326,2,105,true
327,3,15,true,327,2,105,true
328,3,15,true,328,2,105,true
329,3,15,true,329,2,105,true
330,3,15,true,330,2,105,true
331,3,15,true,331,2,105,true
332,3,15,true,332,2,105,true
333,3,15,true,333,2,105,true
334,3,15,true,334,2,105,true
335,3,15,true,335,2,105,true
336,3,15,true,336,2,105,true
337,3,15,true,337,2,105,true
338,3,15,true,338,2,105,true
339,3,15,true,339,2,105,true
340,3,15,true,340,2,105,true
341,3,15,true,341,2,105,true
342,3,15,true,342,2,105,true
343,3,15,true,343,2,105,true
344,3,15,true,344,2,105,true
345,3,15,true,345,2,105,true
346,3,15,true,346,2,105,true
347,3,15,true,347,2,105,true
348,3,15,true,348,2,105,true
349,3,15,true,349,2,105,true
350,3,15,true,350,2,105,true
351,3,15,true,351,2,105,true
352,3,15,true,352,2,105,true
353,3,15,true,353,2,105,true
354,3,15,true,354,2,105,true
355,3,15,true,355,2,105,true
356,3,15,true,356,2,105,true
357,3,15,true,357,2,105,true
358,3,15,true,358,2,105,true
359,3,15,true,359,2,105,true
360,3,15,true,360,2,105,true
361,3,15,true,361,2,105,true
362,3,15,true,362,2,105,true
363,3,15,true,363,2,105,true
364,3,15,true,364,2,105,true
365,3,15,true,365,2,105,true
366,3,15,true,366,2,105,true
367,3,15,true,367,2,105,true
368,3,15,true,368,2,105,true
369,3,15,true,369,2,105,true
370,3,15,true,370,2,105,true
371,3,15,true,371,2,105,true
372,3,15,true,372,2,105,true
373,3,15,true,373,2,105,true
374,3,15,true,374,2,105,true
375,3,15,true,375,2,105,true
376,3,15,true,376,2,105,true
377,3,15,true,377,2,105,true
378,3,15,true,378,2,105,true
379,3,15,true,379,2,105,true
380,3,15,true,380,2,105,true
381,3,15,true,381,2,105,true
382,3,15,true,382,2,105,true
383,3,15,true,383,2,105,true
384,3,15,true,384,2,105,true
385,3,15,true,385,2,105,true
386,3,15,true,386,2,105,true
387,3,15,true,387,2,105,true
388,3,15,true,388,2,105,true
389,3,15,true,389,2,105,true
390,3,15,true,390,2,105,true
391,3,15,true,391,2,105,true
392,3,15,true,392,2,105,true
393,3,15,true,393,2,105,true
394,3,15,true,394,2,105,true
395,3,15,true,395,2,105,true
396,3,15,true,396,2,105,true
397,3,15,true,397,2,105,true
398,3,15,true,398,2,105,true
399,3,15,true,399,2,105,true
400,3,15,true,400,2,105,true
401,3,15,true,401,2,105,true
402,3,15,true,402,2,105,true
403,3,15,true,403,2,105,true
404,3,15,true,404,2,105,true
405,3,15,true,405,2,105,true
406,3,15,true,406,2,105,true
407,3,15,true,407,2,105,true
408,3,15,true,408,2,105,true
409,3,15,true,409,2,105,true
410,3,15,true,410,2,105,true
411,3,15,true,411,2,105,true
412,3,15,true,412,2,105,true
413,3,15,true,413,2,105,true
414,3,15,true,414,2,105,true
415,3,15,true,415,2,105,true
416,3,15,true,416,2,105,true
417,3,15,true,417,2,105,true
418,3,15,true,418,2,105,true
419,3,15,true,419,2,105,true
420,3,15,true,420,2,105,true
421,3,15,true,421,2,105,true
422,3,15,true,422,2,105,true
423,3,15,true,423,2,105,true
424,3,15,true,424,2,105,true
425,3,15,true,425,2,105,true
426,3,15,true,426,2,105,true
427,3,15,true,427,2,105,true
428,3,15,true,428,2,105,true
429,3,15,true,429,2,105,true
430,3,15,true,430,2,105,true
431,3,15,true,431,2,105,true
432,3,15,true,432,2,105,true
433,3,15,true,433,2,105,true
434,3,15,true,434,2,105,true
435,3,15,true,435,2,105,true
436,3,15,true,436,2,105,true
437,3,15,true,437,2,105,true
438,3,15,true,438,2,105,true
439,3,15,true,439,2,105,true
440,3,15,true,440,2,105,true
441,3,15,true,441,2,105,true
442,3,15,true,442,2,105,true
443,3,15,true,443,2,105,true
444,3,15,true,444,2,105,true
445,3,15,true,445,2,105,true
446,3,15,true,446,2,105,true
447,3,15,true,447,2,105,true
448,3,15,true,448,2,105,true
